t A E T
3820.0 4.358905355140313e-05 -0.00011077392805454932 -2.3538998366158873e-07
3830.0 3.662472439239738e-05 -0.00011336720193378617 -2.2495947181119542e-07
3840.0 2.951584141186079e-05 -0.00011551302555380189 -2.1364101049684524e-07
3850.0 2.2290462706617926e-05 -0.00011720292951255488 -2.014792757103396e-07
3860.0 1.4977106169827869e-05 -0.00011843024388423707 -1.885222714036747e-07
3870.0 7.6046369321011134e-06 -0.00011919012454352776 -1.7482114167817432e-07
3880.0 2.0215343558282486e-07 -0.0001194795722850075 -1.604299663943013e-07
3890.0 -7.201127418357604e-06 -0.0001192974446611223 -1.4540554924326196e-07
3900.0 -1.4575985581986536e-05 -0.00011864446048789209 -1.2980719519337504e-07
3910.0 -2.1893313190956488e-05 -0.00011752319701316435 -1.1369647231019382e-07
3920.0 -2.9124229451923866e-05 -0.0001159380797418645 -9.713697301928065e-08
3930.0 -3.6240194629473825e-05 -0.0001138953649689958 -8.019405878997843e-08
3940.0 -4.321312269229123e-05 -0.00011140311508678303 -6.293460687813624e-08
3950.0 -5.001549216440655e-05 -0.0001084711667639897 -4.5426743321293726e-08
3960.0 -5.662045475107475e-05 -0.00010511109212228372 -2.77395729876952e-08
3970.0 -6.300194130537959e-05 -0.0001013361530587703 -9.942911388921127e-09
3980.0 -6.913476472049504e-05 -9.71612489051657e-05 7.892996373897246e-09
3990.0 -7.49947193416791e-05 -9.260285762110814e-05 2.5697748229163396e-08
4000.0 -8.055867650257423e-05 -8.767897075748373e-05 4.340106768278059e-08
4010.0 -8.580467581402338e-05 -8.240902244556047e-05 6.093307568520766e-08
4020.0 -9.07120118360031e-05 -7.681381269107937e-05 7.822457171596797e-08
4030.0 -9.526131580242612e-05 -7.09154252787375e-05 9.520730240205602e-08
4040.0 -9.943463206758807e-05 -6.473714061073847e-05 1.1181423475883998e-07
4050.0 -0.00010321548897408538 -5.830334381957939e-05 1.2797982002101102e-07
4060.0 -0.0001065889638667847 -5.163942852356022e-05 1.4364024794795415e-07
4070.0 -0.00010954174198821303 -4.477169660000027e-05 1.5873370644754758e-07
4080.0 -0.00011206216903332842 -3.772725437329191e-05 1.732006177704022e-07
4090.0 -0.00011414029714679559 -3.053390562991515e-05 1.8698387973621196e-07
4100.0 -0.0001157679241843501 -2.3220041878046398e-05 2.0002908769277633e-07
4110.0 -0.00011693862608858627 -1.5814530289263464e-05 2.1228474989806257e-07
4120.0 -0.00011764778224299338 -8.346599762885194e-06 2.2370249191624222e-07
4130.0 -0.00011789259370758188 -8.457255627603412e-07 2.3423724503275362e-07
4140.0 -0.0001176720942673464 6.658487021531708e-06 2.438474283622148e-07
4150.0 -0.00011698715424612687 1.4136419521639854e-05 2.524951083315678e-07
4160.0 -0.00011584047706959572 2.1558557193142617e-05 2.601461513792756e-07
4170.0 -0.00011423658859757669 2.8895605507574338e-05 2.667703578674088e-07
4180.0 -0.00011218181925717603 3.6118605774581344e-05 2.723415801277355e-07
4190.0 -0.00010968427906004512 4.319904944124922e-05 2.768378295302633e-07
4200.0 -0.00010675382559193142 5.010899061105715e-05 2.8024135695857953e-07
4210.0 -0.00010340202510530612 5.682115634245838e-05 2.82538729415565e-07
4220.0 -9.96421068693732e-05 6.330905429824136e-05 2.837208781696684e-07
4230.0 -9.548891095317847e-05 6.954707730318771e-05 2.8378313735315415e-07
4240.0 -9.095882965538338e-05 7.551060441504556e-05 2.827252607452268e-07
4250.0 -8.606974280229041e-05 8.117609810254125e-05 2.805514240007169e-07
4260.0 -8.084094718294427e-05 8.652119714344089e-05 2.7727020920930746e-07
4270.0 -7.529308038276656e-05 9.152480488620602e-05 2.7289456669301985e-07
4280.0 -6.944803932646326e-05 9.616717251235496e-05 2.674417669104633e-07
4290.0 -6.332889385887133e-05 0.00010042997698475186 2.6093333409585567e-07
4300.0 -5.6959795685589554e-05 0.00010429639337178017 2.533949571937666e-07
4310.0 -5.036588305145707e-05 0.00010775116124682037 2.4485639232114595e-07
4320.0 -4.357318152052689e-05 0.00011078064492247555 2.3535134259272845e-07
4330.0 -3.660850125360821e-05 0.00011337288727131278 2.2491732432766698e-07
4340.0 -2.9499331197627154e-05 0.00011551765691718296 2.135955242270381e-07
4350.0 -2.227373058224678e-05 0.0001172064886224967 2.0143063018154524e-07
4360.0 -1.4960218175926983e-05 0.00011843271669388845 1.8847065804479708e-07
